436,128
441,121
448,114
454,108
464,103
478,97
492,93
518,88
530,82
550,76
568,70
597,68
614,66
634,67
656,67
675,67
706,71
735,74
753,76
784,87
797,90
814,95
832,101
839,106
860,115
879,127
886,134
896,144
900,156
904,172
904,184
902,192
899,200
896,207
892,219
888,227
880,234
873,239
868,245
860,251
845,262
834,270
824,280
814,284
805,289
799,295
785,307
778,314
771,317
755,329
748,334
737,343
727,348
706,361
697,370
686,375
676,386
656,401
642,412
631,418
619,427
606,435
597,444
585,450
553,474
527,499
